"GEOID","HighSewer","MedSewer","LowSewer"
"'120210104263","YES","NO","NO"
"'120210111101","YES","YES","YES"
"'120210104344","YES","YES","YES"
"'120210109073","YES","YES","YES"
"'120210105122","YES","YES","YES"
"'121050125112","YES","YES","YES"
"'121050121252","YES","YES","YES"
"'121050124053","YES","YES","YES"
"'121050149052","YES","YES","YES"
"'121050118372","YES","YES","YES"
"'121050129004","YES","YES","YES"
"'121050149061","YES","YES","YES"
"'121050136022","YES","YES","YES"
"'121050121312","YES","YES","YES"
"'121050109003","YES","YES","YES"
"'121050124112","YES","YES","YES"
"'121050126023","YES","YES","YES"
"'121050125103","YES","YES","YES"
"'121050150003","YES","YES","YES"
"'120150202032","YES","YES","YES"
"'120150201014","YES","YES","YES"
"'120150305072","YES","YES","YES"
"'121270910151","YES","YES","YES"
"'121270902023","YES","YES","YES"
"'121270823031","YES","YES","YES"
"'121270824013","YES","YES","YES"
"'120690313241","YES","YES","YES"
"'120310142051","YES","YES","YES"
"'120310160012","YES","YES","YES"
"'120310142044","YES","YES","YES"
"'120350602201","YES","YES","YES"
"'120879728003","YES","YES","YES"
"'120632101002","NO","NO","NO"
"'120559606023","YES","YES","YES"
"'120190307051","YES","YES","YES"
"'120190307011","YES","YES","NO"
"'121199117042","YES","YES","YES"
"'121199112043","YES","YES","YES"
"'121199117022","YES","YES","YES"
"'121199112073","YES","YES","YES"
"'121199112022","YES","YES","YES"
"'120110703243","YES","YES","YES"
"'120111103541","YES","YES","YES"
"'120110204192","YES","YES","YES"
"'120110202123","YES","YES","YES"
"'120110602142","YES","YES","YES"
"'120111103542","YES","YES","YES"
"'120110705042","YES","YES","YES"
"'120110703232","YES","YES","YES"
"'120110702131","YES","YES","YES"
"'120110601283","YES","YES","YES"
"'120110903041","YES","YES","YES"
"'120110912013","YES","YES","YES"
"'120111103602","YES","YES","YES"
"'120110606093","YES","YES","YES"
"'120110312072","YES","YES","YES"
"'120111103641","YES","YES","YES"
"'120110204142","YES","YES","YES"
"'120111103213","YES","YES","YES"
"'120110606061","YES","YES","YES"
"'120111002031","YES","YES","YES"
"'120111103671","YES","YES","YES"
"'120110102023","YES","YES","YES"
"'120110425022","YES","YES","YES"
"'120110703263","YES","YES","YES"
"'120110903031","YES","YES","YES"
"'120110903044","YES","YES","YES"
"'120110702132","YES","YES","YES"
"'120110102011","YES","YES","YES"
"'120111008043","YES","YES","YES"
"'120111103673","YES","YES","YES"
"'120111103642","YES","YES","YES"
"'120110610041","YES","YES","YES"
"'120111103452","YES","YES","YES"
"'120110204122","YES","YES","YES"
"'120110703271","YES","YES","YES"
"'120110602151","YES","YES","YES"
"'120110901042","YES","YES","YES"
"'120110903042","YES","YES","YES"
"'120110903043","YES","YES","YES"
"'120110102013","YES","YES","YES"
"'120111103574","YES","YES","YES"
"'120111103451","YES","YES","YES"
"'120110706023","YES","YES","YES"
"'120110601114","YES","YES","YES"
"'120111008041","YES","YES","YES"
"'120110308041","YES","YES","YES"
"'120110916022","YES","YES","YES"
"'120110203153","YES","YES","YES"
"'120111103581","YES","YES","YES"
"'120110423014","YES","YES","YES"
"'120111103623","YES","YES","YES"
"'120110416021","YES","YES","YES"
"'120110203021","YES","YES","YES"
"'120111103614","YES","YES","YES"
"'120110201014","YES","YES","YES"
"'120111103283","YES","YES","YES"
"'120110428012","YES","YES","YES"
"'120110307053","YES","YES","YES"
"'120110306022","YES","YES","YES"
"'120110601113","YES","YES","YES"
"'120110106131","YES","YES","YES"
"'120110602153","YES","YES","YES"
"'121010311042","YES","YES","YES"
"'121010321074","YES","YES","NO"
"'121010320053","YES","YES","YES"
"'121010329053","YES","YES","YES"
"'121010316031","YES","YES","YES"
"'121219705023","NO","NO","NO"
"'121219706022","NO","NO","NO"
"'121219702001","NO","NO","NO"
"'120910219023","YES","YES","YES"
"'121339702003","NO","NO","NO"
"'120910219021","YES","YES","YES"
"'120910233072","YES","YES","YES"
"'120970432032","YES","YES","YES"
"'120970427022","YES","YES","YES"
"'120970438022","NO","NO","NO"
"'120970410031","YES","YES","YES"
"'120970408111","YES","YES","YES"
"'121319506101","YES","NO","NO"
"'121319506043","YES","NO","NO"
"'121319506041","YES","YES","YES"
"'121319506082","YES","YES","YES"
"'121319506072","YES","YES","YES"
"'120070003011","YES","NO","NO"
"'120970409032","YES","YES","YES"
"'120970410051","YES","YES","YES"
"'120970420003","YES","YES","YES"
"'120970422013","YES","YES","YES"
"'120970429051","YES","YES","YES"
"'120970408072","YES","YES","YES"
"'120970415011","YES","YES","YES"
"'120970411011","YES","YES","YES"
"'120970417004","YES","YES","YES"
"'120970413022","YES","YES","YES"
"'121050126013","YES","YES","YES"
"'121050122082","YES","YES","YES"
"'121050121331","YES","YES","YES"
"'121239503022","NO","NO","NO"
"'121239502011","NO","NO","NO"
"'121239503011","YES","YES","YES"
"'120510006022","NO","NO","NO"
"'120050013023","YES","YES","YES"
"'120050008031","YES","YES","YES"
"'120050009004","YES","NO","NO"
"'120299701041","NO","NO","NO"
"'120759701041","NO","NO","NO"
"'120759701032","NO","NO","NO"
"'120010015224","YES","YES","YES"
"'120010018182","NO","NO","NO"
"'120010020021","NO","NO","NO"
"'120010017013","YES","YES","YES"
"'120010022221","YES","YES","YES"
"'120010015162","YES","YES","YES"
"'120010015163","YES","YES","YES"
"'120010010004","YES","YES","YES"
"'120010002014","YES","YES","YES"
"'120330033082","YES","YES","YES"
"'120330033083","YES","YES","YES"
"'120330033113","YES","YES","YES"
"'120330033121","YES","YES","YES"
"'120330033112","YES","YES","YES"
"'120330034004","YES","YES","YES"
"'120330008012","YES","YES","YES"
"'120890502042","YES","YES","YES"
"'120890503041","YES","YES","YES"
"'120890504013","YES","YES","YES"
"'120890501023","YES","YES","YES"
"'120890501034","YES","YES","YES"
"'120890501042","YES","YES","YES"
"'120890502054","YES","YES","YES"
"'120890503083","NO","NO","NO"
"'120890504033","NO","NO","NO"
"'121090206031","YES","YES","YES"
"'121090214081","YES","YES","NO"
"'121090209031","YES","YES","YES"
"'121090208111","YES","YES","YES"
"'121090209053","YES","YES","YES"
"'120610508091","YES","YES","YES"
"'120610509061","YES","YES","YES"
"'120610507061","YES","YES","YES"
"'120610507064","YES","YES","YES"
"'120610507091","YES","YES","YES"
"'120610503042","YES","YES","YES"
"'120610503041","YES","YES","YES"
"'120610501013","YES","YES","YES"
"'120830014041","YES","YES","YES"
"'120830014032","YES","YES","YES"
"'120830012111","YES","YES","YES"
"'120830010074","YES","YES","YES"
"'120830012041","YES","YES","YES"
"'120830025061","NO","NO","NO"
"'120830023041","YES","YES","YES"
"'120830026071","NO","NO","NO"
"'120830007033","NO","NO","NO"
"'120830009043","NO","NO","NO"
"'120810003104","YES","YES","YES"
"'120810002041","YES","YES","YES"
"'120810008122","YES","YES","YES"
"'120810019164","NO","NO","NO"
"'120810008123","YES","YES","NO"
"'120810004092","YES","YES","YES"
"'120810014062","YES","YES","YES"
"'120810019152","NO","NO","NO"
"'120810003122","YES","YES","YES"
"'120810010022","YES","YES","YES"
"'120810016041","YES","YES","YES"
"'120810008142","YES","YES","YES"
"'120810003101","YES","YES","YES"
"'120810008132","YES","YES","YES"
"'120810015013","YES","YES","YES"
"'120810003111","YES","YES","YES"
"'120810020191","YES","YES","YES"
"'120810019044","YES","YES","YES"
"'120810019083","YES","YES","YES"
"'120810003142","YES","YES","YES"
"'120860027071","YES","YES","YES"
"'120860057053","YES","YES","YES"
"'120860090571","YES","YES","YES"
"'120860060041","YES","YES","YES"
"'120860062032","YES","YES","YES"
"'120860090592","YES","YES","YES"
"'120860084231","YES","YES","YES"
"'120860111061","YES","YES","YES"
"'120860107052","YES","YES","YES"
"'120860114052","YES","YES","YES"
"'120860112062","NO","NO","NO"
"'120860108032","YES","YES","YES"
"'120860102141","YES","YES","YES"
"'120860106222","YES","YES","YES"
"'120860102121","YES","YES","YES"
"'120860106212","YES","YES","YES"
"'120860083122","YES","YES","YES"
"'120860199023","YES","YES","YES"
"'120860189021","YES","YES","YES"
"'120860179021","YES","YES","YES"
"'120860165012","YES","YES","YES"
"'120860109004","YES","YES","YES"
"'120860060042","YES","YES","YES"
"'120860199022","YES","YES","YES"
"'120860113013","YES","YES","YES"
"'120860086033","YES","YES","YES"
"'120860061044","YES","YES","YES"
"'120860007161","YES","YES","YES"
"'120860007151","YES","YES","YES"
"'120860138021","YES","YES","YES"
"'120860103022","YES","YES","YES"
"'120860078093","YES","YES","YES"
"'120860069023","YES","YES","YES"
"'120860083132","YES","YES","YES"
"'120860088101","YES","YES","YES"
"'120860154004","YES","YES","YES"
"'120860171012","YES","YES","YES"
"'120860114092","YES","YES","YES"
"'120860067151","YES","YES","YES"
"'120860067181","YES","YES","YES"
"'120860110151","YES","YES","YES"
"'120860038044","YES","YES","YES"
"'120860084304","YES","YES","YES"
"'120860188022","YES","YES","YES"
"'120860106251","YES","YES","YES"
"'120860171011","YES","YES","YES"
"'120860002241","YES","YES","YES"
"'120860070061","YES","YES","YES"
"'120860002231","YES","YES","YES"
"'120860066081","YES","YES","YES"
"'120860053061","YES","YES","YES"
"'120860098092","YES","YES","YES"
"'120860096021","YES","YES","YES"
"'120860070062","YES","YES","YES"
"'120860010081","YES","YES","YES"
"'120860003122","YES","YES","YES"
"'120860001413","YES","YES","YES"
"'120860002194","YES","YES","YES"
"'120860067191","YES","YES","YES"
"'120860002232","YES","YES","YES"
"'120860098103","YES","YES","YES"
"'120860006112","YES","YES","YES"
"'120860004201","YES","YES","YES"
"'120860009071","YES","YES","YES"
"'120860100192","YES","YES","YES"
"'120860121023","YES","YES","YES"
"'120860100221","YES","YES","YES"
"'120860094022","YES","YES","YES"
"'120860005072","YES","YES","YES"
"'120860005053","YES","YES","YES"
"'120860004172","YES","YES","YES"
"'120860004143","YES","YES","YES"
"'120860117022","YES","YES","YES"
"'120860093212","YES","YES","YES"
"'120860093222","YES","YES","YES"
"'120860007162","YES","YES","YES"
"'120860165022","YES","YES","YES"
"'120860151022","YES","YES","YES"
"'120860090502","YES","YES","YES"
"'120860001464","YES","YES","YES"
"'120860001233","YES","YES","YES"
"'120860090434","YES","YES","YES"
"'120860085043","YES","YES","YES"
"'120860076081","YES","YES","YES"
"'120860090492","YES","YES","YES"
"'120860087031","YES","YES","YES"
"'120860107091","YES","YES","YES"
"'120860089102","YES","YES","YES"
"'120860077072","NO","NO","NO"
"'120860058062","YES","YES","YES"
"'120860093221","YES","YES","YES"
"'120860090601","YES","YES","YES"
"'120860100191","YES","YES","YES"
"'120860069011","YES","YES","YES"
"'120860050032","YES","YES","YES"
"'120860090531","YES","YES","YES"
"'120860036071","YES","YES","YES"
"'120860198011","YES","YES","YES"
"'120860111052","YES","YES","YES"
"'120860108042","YES","YES","YES"
"'120860102111","YES","YES","YES"
"'120860189022","YES","YES","YES"
"'120860113021","YES","YES","YES"
"'120860179023","YES","YES","YES"
"'120860112031","YES","YES","YES"
"'120860114051","YES","YES","YES"
"'120860084263","YES","YES","YES"
"'120860084294","YES","YES","YES"
"'120860171013","YES","YES","YES"
"'120860174022","YES","YES","YES"
"'120860106182","YES","YES","YES"
"'120860001073","YES","YES","YES"
"'120860106231","YES","YES","YES"
"'120860037103","YES","YES","YES"
"'120860074022","YES","YES","YES"
"'120860098101","YES","YES","YES"
"'120860001463","YES","YES","YES"
"'120860085032","YES","YES","YES"
"'120860002233","YES","YES","YES"
"'120860043032","YES","YES","YES"
"'120860001452","YES","YES","YES"
"'120860004192","YES","YES","YES"
"'120860004182","YES","YES","YES"
"'120860004133","YES","YES","YES"
"'120860009051","YES","YES","YES"
"'120860124012","YES","YES","YES"
"'120830025052","YES","YES","YES"
"'120830008081","YES","YES","YES"
"'120830008091","YES","YES","YES"
"'120830008082","YES","YES","YES"
"'120830018001","YES","YES","YES"
"'120830012052","YES","YES","YES"
"'120830026092","YES","YES","YES"
"'120830008052","YES","YES","YES"
"'120830009042","NO","NO","NO"
"'120830007062","YES","YES","YES"
"'120860001312","YES","YES","YES"
"'120860090501","YES","YES","YES"
"'120860121021","YES","YES","YES"
"'120860147012","YES","YES","YES"
"'120730018043","YES","YES","YES"
"'120730025093","YES","YES","YES"
"'120730025094","YES","YES","YES"
"'120730022012","YES","YES","YES"
"'120730017022","YES","YES","YES"
"'120730024191","YES","YES","NO"
"'120730009073","YES","YES","YES"
"'120730017012","YES","YES","YES"
"'120730024212","YES","YES","YES"
"'120730021012","YES","YES","YES"
"'120730018031","YES","YES","YES"
"'120860030064","YES","YES","YES"
"'120860030061","YES","YES","YES"
"'120860061061","YES","YES","YES"
"'120860055043","YES","YES","YES"
"'120860007192","YES","YES","YES"
"'120860077044","YES","YES","YES"
"'120860055033","YES","YES","YES"
"'120860017042","YES","YES","YES"
"'120860090392","YES","YES","YES"
"'120860089082","YES","YES","YES"
"'120860148004","YES","YES","YES"
"'120860146011","YES","YES","YES"
"'120860089081","YES","YES","YES"
"'120860059034","YES","YES","YES"
"'120860060032","YES","YES","YES"
"'120860036061","YES","YES","YES"
"'120860066051","YES","YES","YES"
"'120860058031","YES","YES","YES"
"'120860077082","YES","YES","YES"
"'120860143002","YES","YES","YES"
"'120860008043","YES","YES","YES"
"'120860107081","YES","YES","YES"
"'120860090612","YES","YES","YES"
"'120860058033","YES","YES","YES"
"'120860061052","YES","YES","YES"
"'120860070032","YES","YES","YES"
"'120860050023","YES","YES","YES"
"'120860055052","YES","YES","YES"
"'120950137013","YES","YES","YES"
"'121113821264","YES","YES","YES"
"'120990002221","YES","YES","YES"
"'120990002232","YES","YES","YES"
"'120990010033","YES","YES","YES"
"'120990075013","YES","YES","YES"
"'120990076133","YES","YES","YES"
"'120990005132","YES","YES","YES"
"'120990076203","YES","YES","YES"
"'120990042061","YES","YES","YES"
"'120990078414","YES","YES","YES"
"'120990078401","YES","YES","YES"
"'120990002213","YES","YES","YES"
"'120990059601","YES","YES","YES"
"'120990079093","YES","YES","YES"
"'120990080024","NO","NO","NO"
"'120990076201","YES","YES","YES"
"'120990005121","YES","YES","YES"
"'120990072082","YES","YES","YES"
"'120990072081","YES","YES","YES"
"'120990079182","YES","YES","NO"
"'120990078452","YES","YES","YES"
"'120990042062","YES","YES","YES"
"'120990002201","YES","YES","YES"
"'120990038021","YES","YES","YES"
"'120990027031","YES","YES","YES"
"'120990077434","YES","YES","YES"
"'120990059384","YES","YES","YES"
"'120990058214","YES","YES","YES"
"'120990058213","YES","YES","YES"
"'120990059543","YES","YES","YES"
"'120990042052","YES","YES","YES"
"'120990058192","YES","YES","YES"
"'120990058182","YES","YES","YES"
"'120990026002","YES","YES","YES"
"'120990076231","YES","YES","YES"
"'120990070131","YES","YES","YES"
"'120990003013","YES","YES","YES"
"'120990066022","YES","YES","YES"
"'120990058181","YES","YES","YES"
"'120990077404","YES","YES","YES"
"'120990059313","YES","YES","YES"
"'120990002211","YES","YES","YES"
"'120990077102","YES","YES","YES"
"'120990002222","YES","YES","YES"
"'120990002173","YES","YES","YES"
"'120990040052","YES","YES","YES"
"'120990059592","YES","YES","YES"
"'120990059441","YES","YES","YES"
"'120990059421","YES","YES","YES"
"'120990072071","YES","YES","YES"
"'120990078491","NO","NO","NO"
"'120990077662","YES","YES","YES"
"'120860001232","YES","YES","YES"
"'120860067221","YES","YES","YES"
"'120710101093","YES","YES","NO"
"'120710101111","YES","YES","YES"
"'121113802002","YES","YES","YES"
"'121113821291","YES","YES","YES"
"'121113821123","YES","YES","YES"
"'121113821162","YES","YES","YES"
"'121113821152","YES","YES","YES"
"'121113821161","YES","YES","YES"
"'121113811072","YES","YES","YES"
"'121113815061","YES","YES","YES"
"'121113807004","YES","YES","YES"
"'121113802004","YES","YES","YES"
"'121113821181","YES","YES","YES"
"'121113821212","YES","YES","YES"
"'121113815062","YES","YES","YES"
"'121113821173","YES","YES","YES"
"'121113803006","YES","YES","YES"
"'121113820122","YES","YES","YES"
"'121113821292","YES","YES","YES"
"'121113811041","YES","YES","YES"
"'120710402123","YES","YES","YES"
"'121113816033","YES","YES","YES"
"'120710101103","YES","YES","NO"
"'121113820081","YES","YES","YES"
"'120710101122","YES","YES","YES"
"'120710101131","YES","YES","YES"
"'120710502112","YES","YES","YES"
"'120710503062","YES","YES","YES"
"'120710506041","YES","YES","YES"
"'120710505011","YES","YES","YES"
"'120710403082","YES","YES","NO"
"'120710104191","YES","YES","YES"
"'120710104222","YES","YES","YES"
"'120710503182","YES","YES","YES"
"'120710012063","YES","YES","YES"
"'120710012062","YES","YES","YES"
"'120710401093","YES","YES","YES"
"'120710102092","YES","YES","YES"
"'120710503241","YES","YES","YES"
"'120710104161","YES","YES","YES"
"'120710503242","YES","YES","YES"
"'120710302051","YES","YES","NO"
"'120710104201","YES","YES","YES"
"'120710010012","YES","YES","YES"
"'120710010011","YES","YES","YES"
"'120710201024","YES","YES","YES"
"'120710012032","YES","YES","YES"
"'120710102064","YES","YES","YES"
"'120710102063","YES","YES","YES"
"'120710102051","YES","YES","YES"
"'120710003061","YES","YES","YES"
"'120710108024","YES","YES","YES"
"'120710601021","YES","YES","YES"
"'120710506042","YES","YES","YES"
"'120710503254","YES","YES","YES"
"'120710503233","YES","YES","YES"
"'120710502072","YES","YES","YES"
"'120710402113","YES","YES","YES"
"'120710503221","YES","YES","YES"
"'120710019161","YES","YES","YES"
"'120710503162","YES","YES","YES"
"'120710506014","YES","YES","YES"
"'120710017013","YES","YES","YES"
"'120710802042","YES","YES","YES"
"'120710012031","YES","YES","YES"
"'120710019231","YES","YES","NO"
"'120710019201","YES","YES","YES"
"'121150023072","YES","YES","YES"
"'121150027421","YES","YES","YES"
"'121150014043","YES","YES","YES"
"'121150001032","YES","YES","YES"
"'121150001042","YES","YES","YES"
"'121150020044","YES","YES","YES"
"'121150027353","YES","YES","YES"
"'121150027381","YES","YES","YES"
"'121150027352","YES","YES","YES"
"'121150001031","YES","YES","YES"
"'121150019091","YES","YES","YES"
"'121150021011","YES","YES","YES"
"'121150021023","YES","YES","YES"
"'121150015082","YES","YES","YES"
"'121150015101","YES","YES","YES"
"'121150015093","YES","YES","YES"
"'121150012051","YES","YES","YES"
"'121150018015","YES","YES","YES"
"'121150027483","YES","YES","YES"
"'121150020152","YES","YES","YES"
"'121150027482","YES","YES","YES"
"'121150012062","YES","YES","YES"
"'120950165103","YES","YES","YES"
"'120950134062","YES","YES","YES"
"'120950167093","YES","YES","YES"
"'120950142023","YES","YES","YES"
"'120950166072","NO","NO","NO"
"'120950167402","YES","YES","YES"
"'120950170213","YES","YES","YES"
"'120950164082","YES","YES","YES"
"'120950102023","YES","YES","YES"
"'120950165121","YES","YES","YES"
"'120950136052","YES","YES","YES"
"'120950155014","YES","YES","YES"
"'120950146063","YES","YES","YES"
"'120950167391","YES","YES","YES"
"'120950174023","YES","YES","YES"
"'120950182011","YES","YES","YES"
"'120950146013","YES","YES","YES"
"'120950165032","YES","YES","YES"
"'120950136033","YES","YES","YES"
"'120950136072","YES","YES","YES"
"'120950123032","YES","YES","YES"
"'120950102011","YES","YES","YES"
"'120950142011","YES","YES","YES"
"'120950102021","YES","YES","YES"
"'120950169074","YES","YES","YES"
"'120950124032","YES","YES","YES"
"'120950170232","YES","NO","NO"
"'120950170181","YES","YES","YES"
"'120950148042","YES","YES","YES"
"'120950135131","YES","YES","YES"
"'120950123074","YES","YES","YES"
"'120950123062","YES","YES","YES"
"'120950136042","YES","YES","YES"
"'120090624024","YES","YES","YES"
"'120090631093","YES","YES","YES"
"'120090713522","YES","YES","YES"
"'120090713421","YES","YES","YES"
"'120090601051","NO","NO","NO"
"'120090603021","YES","YES","YES"
"'120090652391","YES","YES","YES"
"'120090699071","YES","YES","YES"
"'120090651311","YES","YES","YES"
"'120090651313","YES","YES","YES"
"'120090651314","YES","YES","YES"
"'120090699043","YES","NO","NO"
"'120090651271","YES","YES","YES"
"'120090713503","YES","YES","YES"
"'120090650223","YES","YES","YES"
"'120090650243","YES","YES","YES"
"'120090621086","YES","YES","YES"
"'120090652372","YES","YES","YES"
"'120090650222","YES","YES","YES"
"'120090641301","YES","YES","YES"
"'120090621131","YES","YES","YES"
"'120090651263","YES","YES","YES"
"'120090716022","YES","YES","YES"
"'120090651281","YES","YES","YES"
"'120090631023","YES","YES","YES"
"'120090651261","YES","YES","YES"
"'120090712012","NO","NO","NO"
"'120950170222","YES","YES","YES"
"'120950145042","YES","YES","YES"
"'120950167442","YES","YES","YES"
"'120950167134","YES","YES","YES"
"'120950167441","YES","YES","YES"
"'120950148132","YES","YES","YES"
"'120950167522","YES","YES","YES"
"'120950170251","NO","NO","NO"
"'120950165111","YES","YES","YES"
"'120950189014","YES","YES","YES"
"'120950178112","YES","YES","YES"
"'120950169081","YES","YES","YES"
"'120950170203","YES","YES","YES"
"'120860034003","YES","YES","YES"
"'120860038045","YES","YES","YES"
"'120860027103","YES","YES","YES"
"'120860121032","YES","YES","YES"
"'120860027093","YES","YES","YES"
"'121090207121","YES","YES","YES"
"'121090212111","YES","YES","YES"
"'121090206032","YES","YES","YES"
"'121090208014","YES","YES","YES"
"'121090214033","YES","YES","YES"
"'121090209044","YES","YES","YES"
"'120990049044","YES","YES","YES"
"'120990048134","YES","YES","YES"
"'120990077672","YES","YES","YES"
"'120990077471","YES","YES","YES"
"'120990077722","YES","YES","YES"
"'120990039011","YES","YES","YES"
"'120950164132","YES","YES","YES"
"'120950167153","YES","YES","YES"
"'120950167553","YES","YES","YES"
"'120950178072","YES","YES","YES"
"'120950142013","YES","YES","YES"
"'120950166034","YES","YES","YES"
"'120950149062","YES","YES","YES"
"'120950147063","YES","YES","YES"
"'120950164072","YES","YES","YES"
"'120950167531","YES","YES","YES"
"'120950164141","YES","YES","YES"
"'120950132013","YES","YES","YES"
"'120950171163","YES","YES","YES"
"'120950145043","YES","YES","YES"
"'120950142014","YES","YES","YES"
"'120950167503","YES","YES","YES"
"'120010017011","YES","YES","YES"
"'120010005003","YES","YES","YES"
"'120010005002","YES","YES","YES"
"'120010006002","YES","YES","YES"
"'120010010001","YES","YES","YES"
"'120010011001","YES","YES","YES"
"'120010018031","YES","YES","YES"
"'120010022071","YES","YES","YES"
"'120010022082","YES","YES","NO"
"'120830006013","NO","NO","NO"
"'120830026022","YES","YES","YES"
"'120830022021","YES","YES","YES"
"'120830014011","YES","YES","YES"
"'120830020011","YES","YES","YES"
"'120830021002","YES","YES","YES"
"'121030274044","YES","YES","YES"
"'121030274045","YES","YES","YES"
"'120990077753","YES","YES","YES"
"'120990077701","YES","YES","YES"
"'120090611001","YES","YES","YES"
"'120090621082","YES","YES","YES"
"'120090623012","YES","YES","YES"
"'120090715002","YES","YES","YES"
"'120090663022","YES","YES","YES"
"'120090667001","YES","YES","YES"
"'120090669005","YES","YES","YES"
"'120090643012","YES","YES","YES"
"'120090641243","YES","YES","YES"
"'120090645002","YES","YES","YES"
"'120090649011","YES","YES","YES"
"'120090697002","YES","YES","YES"
"'120090651232","YES","YES","YES"
"'120090621081","YES","YES","YES"
"'120090641273","YES","NO","NO"
"'120879719001","YES","YES","YES"
"'120970423002","YES","YES","YES"
"'120970418001","YES","YES","YES"
"'120970418002","YES","YES","YES"
"'120970419001","YES","YES","YES"
"'120970434002","YES","YES","YES"
"'120970435004","YES","YES","YES"
"'120810019111","YES","YES","YES"
"'120810019082","YES","YES","YES"
"'120810009021","YES","YES","YES"
"'120810009022","YES","YES","YES"
"'120810004052","YES","YES","YES"
"'120810008041","YES","YES","YES"
"'120810012021","YES","YES","YES"
"'120810003042","YES","YES","YES"
"'120810004071","YES","YES","YES"
"'120810001033","YES","YES","YES"
"'120810006012","YES","YES","YES"
"'120879706001","YES","YES","YES"
"'120610506032","YES","YES","YES"
"'120610506042","YES","YES","YES"
"'120710005031","YES","YES","YES"
"'120710005032","YES","YES","YES"
"'120710005033","YES","YES","YES"
"'120710018022","YES","YES","YES"
"'120710107021","YES","YES","YES"
"'120710103033","YES","YES","YES"
"'120950151031","YES","YES","YES"
"'120950179024","YES","YES","NO"
"'120950176003","YES","YES","YES"
"'120950177033","YES","YES","YES"
"'120950176001","YES","YES","YES"
"'120710104043","YES","YES","YES"
"'120710106011","YES","YES","YES"
"'120710107013","YES","YES","YES"
"'120710004013","YES","YES","YES"
"'120710602011","YES","YES","YES"
"'120710005041","YES","YES","YES"
"'120710006004","YES","YES","YES"
"'120710016021","YES","YES","YES"
"'120710803003","YES","YES","YES"
"'120710006002","YES","YES","YES"
"'120710015021","YES","YES","YES"
"'120710015022","YES","YES","YES"
"'120710303004","NO","NO","NO"
"'120710403012","YES","YES","YES"
"'120710403015","YES","YES","YES"
"'120710403013","YES","YES","YES"
"'120710403021","YES","YES","YES"
"'120950136051","YES","YES","YES"
"'120950147013","YES","YES","YES"
"'120950149041","YES","YES","YES"
"'120950147012","YES","YES","YES"
"'120950146051","YES","YES","YES"
"'120950117013","YES","YES","YES"
"'120950169041","YES","YES","YES"
"'120950155012","YES","YES","YES"
"'120950153003","YES","YES","YES"
"'120950126001","YES","YES","YES"
"'120950108023","YES","YES","YES"
"'120950158021","YES","YES","YES"
"'120950162003","YES","YES","YES"
"'120950170012","YES","YES","YES"
"'120950148061","YES","YES","YES"
"'120710403031","YES","YES","YES"
"'120710402071","YES","YES","YES"
"'120710403044","YES","YES","YES"
"'120710201022","YES","YES","YES"
"'120710205012","YES","YES","YES"
"'120950151052","YES","YES","YES"
"'120950105001","YES","YES","YES"
"'120950104001","YES","YES","YES"
"'120950108022","YES","YES","YES"
"'120950113003","YES","YES","YES"
"'120950138011","YES","YES","YES"
"'120950133001","YES","YES","YES"
"'120950135031","YES","YES","YES"
"'120950135051","YES","YES","YES"
"'120950170043","YES","YES","YES"
"'120950167101","YES","YES","YES"
"'120559602001","NO","NO","NO"
"'120559602003","YES","YES","YES"
"'120559606011","YES","YES","YES"
"'120559610003","YES","YES","NO"
"'120559608001","YES","YES","YES"
"'120150201032","YES","YES","YES"
"'120150203031","YES","YES","YES"
"'121050160011","YES","YES","NO"
"'121050131022","YES","YES","NO"
"'121050151022","YES","YES","YES"
"'121050157012","YES","YES","YES"
"'121050111002","YES","YES","YES"
"'121050115022","YES","YES","YES"
"'121050104021","YES","YES","YES"
"'121050107011","YES","YES","YES"
"'121050111003","YES","YES","YES"
"'121050155002","YES","YES","YES"
"'121050130024","YES","YES","YES"
"'121050139022","YES","YES","YES"
"'121050134002","YES","YES","YES"
"'121050154011","NO","NO","NO"
"'121010327002","NO","NO","NO"
"'121010310031","YES","YES","YES"
"'121010314014","YES","YES","YES"
"'121010310052","YES","YES","YES"
"'121010314012","YES","YES","YES"
"'121010314013","YES","YES","YES"
"'120231109013","NO","NO","NO"
"'120231102024","NO","NO","NO"
"'120890502012","NO","NO","NO"
"'121199110001","YES","YES","YES"
"'121199117023","YES","YES","YES"
"'120050012001","YES","YES","YES"
"'120050008061","YES","YES","YES"
"'120050024003","YES","YES","YES"
"'120860080003","YES","YES","YES"
"'120860201003","YES","YES","YES"
"'120860190005","YES","YES","YES"
"'120860185001","YES","YES","YES"
"'120860183004","YES","YES","YES"
"'120860154003","YES","YES","YES"
"'120860178003","YES","YES","YES"
"'120860183001","YES","YES","YES"
"'120860187001","YES","YES","YES"
"'120860106094","YES","YES","YES"
"'120860106083","YES","YES","YES"
"'120860002122","YES","YES","YES"
"'120860077052","YES","YES","YES"
"'120860084093","YES","YES","YES"
"'120860046052","YES","YES","YES"
"'120860173001","YES","YES","YES"
"'120860183003","YES","YES","YES"
"'120860044043","YES","YES","YES"
"'120860075012","YES","YES","YES"
"'120860077043","YES","YES","YES"
"'120860067141","YES","YES","YES"
"'120860046051","YES","YES","YES"
"'120860045005","YES","YES","YES"
"'120860001325","YES","YES","YES"
"'120860042051","YES","YES","YES"
"'120860081021","YES","YES","YES"
"'120860039221","YES","YES","YES"
