"GEOID","HS_SepCnt","HS_SepDn","MS_SepCnt","MS_SepDn","LS_SepCnt","LS_SepDn","AREA_SQKM"
"'010150011012",543,20.009,543,20.009,543,20.009,27.138
"'010730129202",0,0,0,0,0,0,1.008
"'010890109032",0,0,645,90.576,645,90.576,7.121
"'010510308011",0,0,0,0,0,0,3.205
"'010510310011",0,0,0,0,0,0,4.699
"'010479564002",0,0,0,0,0,0,1.822
"'010950307023",351,43.313,351,43.313,351,43.313,8.104
"'010810406032",0,0,0,0,0,0,0.568
"'010970039011",0,0,0,0,0,0,1.691
"'010730132003",0,0,0,0,0,0,2.164
"'010730144052",0,0,0,0,0,0,1.088
"'010990756001",893,1.7,893,1.7,893,1.7,525.155
"'010730128043",0,0,0,0,0,0,0.727
"'010030114091",840,33.365,840,33.365,840,33.365,25.176
"'010730115003",266,48.754,266,48.754,266,48.754,5.456
"'010970013022",0,0,0,0,0,0,0.419
"'010890108012",0,0,0,0,0,0,4.351
"'011170302162",0,0,0,0,0,0,1.428
"'010970007013",0,0,0,0,0,0,0.315
"'011170306101",0,0,0,0,0,0,2.269
"'010990759022",0,0,0,0,0,0,0.976
"'010690403013",0,0,0,0,0,0,0.836
"'010479570001",399,0.997,399,0.997,399,0.997,400.061
"'010730004003",0,0,0,0,0,0,0.638
"'010570202003",0,0,0,0,0,0,1.394
"'010799795023",464,19.164,464,19.164,464,19.164,24.212
"'010890030002",0,0,0,0,0,0,2.076
"'011010019001",0,0,0,0,0,0,0.689
"'010730045021",0,0,0,0,0,0,0.352
"'010730027022",0,0,0,0,0,0,0.891
"'010179543004",0,0,0,0,0,0,5.136
"'010719506022",0,0,280,125.091,280,125.091,2.238
"'010730107031",0,0,0,0,0,0,1.4
"'010890020001",0,0,0,0,0,0,0.991
"'010690408012",868,57.552,868,57.552,868,57.552,15.082
"'010810413003",0,0,0,0,0,0,1.286
"'010550005001",0,0,0,0,0,0,1.655
"'010730053021",0,0,0,0,0,0,1.645
"'010150012022",0,0,0,0,0,0,2.005
"'010970009021",0,0,0,0,0,0,0.493
"'010730023052",0,0,0,0,0,0,1.035
"'010730057013",0,0,0,0,0,0,0.705
"'010970035012",0,0,0,0,0,0,2.598
"'010310113002",0,0,0,0,0,0,4.637
"'011010022012",0,0,0,0,0,0,0.28
"'010890105041",0,0,0,0,0,0,8.682
"'010730142062",0,0,0,0,0,0,2.839
"'010890112022",0,0,0,0,0,0,1.708
"'010890019013",0,0,0,0,0,0,1.718
"'010730130021",0,0,0,0,0,0,1.1
"'010150015012",0,0,0,0,467,110.378,4.231
"'011130304031",0,0,0,0,0,0,1.327
"'011030001002",0,0,0,0,0,0,0.45
"'011010017004",0,0,0,0,0,0,1.442
"'010730051044",0,0,0,0,0,0,0.07
