"huc12","name","tohuc","HS_SepCnt","HS_SepDn","MS_SepCnt","MS_SepDn","LS_SepCnt","LS_SepDn","AREA_SQKM"
"'111403070103","Prairie Creek-Little Cypress Creek","'111403070104",364,4.814,364,4.814,364,4.814,75.605
"'120702010305","Round Mountain-Sweetwater Creek","'120702010307",154,1.746,154,1.746,154,1.746,88.177
"'120500030302","City of Canyon","'120500030303",1368,7.72,1368,7.72,1368,7.72,177.205
"'120500030303","City of Idalou","'CLOSED BASIN",408,2.7,408,2.7,722,4.778,151.109
"'120500030304","City of Acuff","'CLOSED BASIN",306,1.464,306,1.464,332,1.588,209.052
"'120702010303","Sipe Springs Creek-Copperas Creek","'120702010306",98,1.47,98,1.47,98,1.47,66.683
"'120702010304","Jimmys Creek","'120702010305",183,1.718,183,1.718,183,1.718,106.528
"'120702010306","Martins Creek-Copperas Creek","'120702010307",235,1.754,235,1.754,235,1.754,134.002
"'110901050707","Middle Lake Meredith-Canadian River","'110901050708",278,2.255,278,2.255,1444,11.715,123.264
"'060300030705","Norris Creek","'060300030706",1507,12.278,1507,12.278,1507,12.278,122.74
"'120302020801","Crabb Creek-Nelson Creek","'120302020802",840,5.436,840,5.436,840,5.436,154.525
"'120100010101","Hickory Creek-Cowleech Fork Sabine River","'120100010102",1093,10.883,1093,10.883,1093,10.883,100.429
"'120100010102","Horse Creek-Cowleech Fork Sabine River","'120100010103",1875,17.206,1875,17.206,1875,17.206,108.972
"'120100010103","Wolf Creek-Cowleech Fork Sabine River","'120100010104",1270,12.909,1859,18.895,1859,18.895,98.384
"'120302020712","Dads Creek-Caney Creek","'120302020713",291,5.764,291,5.764,291,5.764,50.49
"'120602040206","Fall Creek-North Bosque River","'120602040303",325,2.289,325,2.289,325,2.289,141.993
"'120302020713","Sandy Creek-White Rock Creek","'120302021103",1662,12.445,1751,13.111,2031,15.208,133.548
"'060300030801","Upper Cane Creek","'060300030802",889,5.323,889,5.323,889,5.323,167.009
"'111201030207","Pleasant Creek-Prarie Dog Town Fork Red River","'111201030301",42,0.345,42,0.345,42,0.345,121.836
"'060300030902","Swan Creek","'060300030903",542,4.167,542,4.167,542,4.167,130.068
"'060300040205","Dry Creek-Richland Creek","'060300040207",1244,8.236,1244,8.236,1244,8.236,151.048
"'060300040206","Buchanan Creek","'060300040207",809,7.407,809,7.407,809,7.407,109.22
"'060300030802","Lower Cane Creek","'060300030901",702,6.574,702,6.574,702,6.574,106.78
"'060300040207","Petty Branch-Richland Creek","'060300040208",2658,16.739,3189,20.083,3189,20.083,158.792
"'120100020105","Brumley Lake-Sabine River","'120100020106",1012,8,1557,12.308,1757,13.889,126.504
"'120702010908","Pew Branch-Leon River","'120702011002",323,3.33,323,3.33,323,3.33,96.985
"'060300030901","Molino Creek-Elk River","'060300030903",589,6.135,589,6.135,599,6.24,96
"'120601010507","Horse Creek-Millers Creek","'120601010603",30,0.236,30,0.236,30,0.236,127.324
"'101600050201","Lynn Lake","'CLOSED BASIN",99,0.644,99,0.644,99,0.644,153.775
"'060300030903","Carr Creek-Elk River","'060300030905",809,5.682,809,5.682,809,5.682,142.379
"'060300030904","Bradshaw Creek","'060300030905",777,4.273,777,4.273,777,4.273,181.822
"'060300030905","Kelly Creek-Elk River","'060300040402",1217,7.082,1217,7.082,1217,7.082,171.835
"'060300040101","Yokley Creek","'060300040102",223,4.229,223,4.229,223,4.229,52.736
"'060300040102","Brownlow Creek","'060300040103",624,6.228,624,6.228,624,6.228,100.186
"'060300040103","Big Creek","'060300040205",428,5.838,428,5.838,428,5.838,73.316
"'060300040201","Headwaters Richland Creek ","'060300040203",1080,8.723,1080,8.723,1080,8.723,123.812
"'060300040202","Lynn Creek","'060300040205",972,7.001,972,7.001,972,7.001,138.828
"'060300040203","Blue Creek-Richland Creek","'060300040205",477,3.949,477,3.949,477,3.949,120.789
"'060300040204","Weakley Creek","'060300040207",1151,6.168,1151,6.168,1151,6.168,186.61
"'101600050203","Holmquist Slough","'CLOSED BASIN",260,3.755,260,3.755,260,3.755,69.234
"'110901060409","Upper Chicken Creek","'110901060410",14,0.136,14,0.136,14,0.136,102.99
"'111301030504","Scatterbranch Creek","'111301030505",652,5.034,675,5.211,675,5.211,129.522
"'111301030505","Flat Top Creek-North Pease River","'111301050102",0,0,0,0,0,0,70.468
"'120301060505","Mustang Creek-East Fork Trinity River","'120301060507",1689,16.954,2712,27.223,5029,50.482,99.62
"'120601010506","Mexican Creek-Millers Creek","'120601010507",49,0.366,49,0.366,49,0.366,133.722
"'101600050202","Pierpont Lake","'101600050204",50,0.577,50,0.577,50,0.577,86.647
"'101600050205","Town of Andover","'101600050306",170,1.175,170,1.175,170,1.175,144.708
"'101600050301","Buchner Slough","'CLOSED BASIN",317,1.538,317,1.538,317,1.538,206.082
"'101600050303","Town of Lily","'101600050305",91,0.611,91,0.611,91,0.611,149.035
"'101600050304","101600050304","'101600050305",22,0.382,22,0.382,22,0.382,57.54
"'101600050305","Amsden Lake-Mud Creek","'101600050306",53,0.475,53,0.475,53,0.475,111.553
"'101600050306","Pigors Lake-Mud Creek","'101600050403",61,0.489,61,0.489,61,0.489,124.768
"'101600050401","Groton Municipal Airport","'101600050403",214,2.326,214,2.326,214,2.326,92.017
"'110901060501","Upper Indian Creek","'110901060502",17,0.153,17,0.153,17,0.153,111.099
"'110901060410","Lower Chicken Creek","'110901060411",20,0.178,20,0.178,20,0.178,112.494
"'120702010705","Alexander Creek-Leon River","'120702010801",189,1.635,189,1.635,189,1.635,115.61
"'110901060411","Dry Creek-Canadian River","'110901060503",10,0.104,10,0.104,10,0.104,96.242
"'110901060502","Lower Indian Creek","'110901060503",20,0.213,20,0.213,20,0.213,93.745
"'120602040302","Lower East Bosque River","'120602040304",112,2.095,112,2.095,112,2.095,53.455
"'110901060503","Dugout Creek-Canadian River","'110901060504",32,0.212,32,0.212,32,0.212,150.982
"'120100020101","Town of Mineola-Sabine River","'120100020102",774,14.252,808,14.878,891,16.406,54.309
"'060400010102","Middle Indian Creek","'060400010104",151,1.325,151,1.325,151,1.325,113.989
"'110901060504","Three Corrals Creek-Canadian River","'110901060505",16,0.136,16,0.136,16,0.136,117.575
"'120500040404","Headwaters Middle Creek","'120500040405",111,0.832,111,0.832,111,0.832,133.45
"'060400010103","Weatherford Creek","'060400010104",251,1.923,251,1.923,251,1.923,130.54
"'120100010608","Village Creek-Sabine River","'120100020101",1324,8.539,1657,10.687,1890,12.19,155.048
"'120702010401","Yellow Branch","'120702010403",72,1.716,72,1.716,72,1.716,41.953
"'060400010104","Lower Indian Creek","'060400010105",167,1.674,167,1.674,167,1.674,99.736
"'120100010605","Town of Grand Saline-Grand Saline Creek","'120100010607",1128,14.531,1508,19.427,1508,19.427,77.624
"'120100010606","Keys Creek","'120100010607",929,23.327,929,23.327,929,23.327,39.825
"'060400010105","Outlet Indian Creek","'060400010508",435,3.16,435,3.16,435,3.16,137.643
"'120100010607","Dry Creek-Sabine River","'120100010608",643,5.725,653,5.814,653,5.814,112.311
"'111301040104","111301040104","'CLOSED BASIN",13,0.224,13,0.224,13,0.224,57.964
"'111301040101","111301040101","'CLOSED BASIN",37,0.388,37,0.388,37,0.388,95.327
"'120100020103","Lake Hawkins","'120100020105",530,9.068,530,9.068,530,9.068,58.448
"'110901060102","Camp Creek-Big Creek","'110901060105",19,0.217,19,0.217,19,0.217,87.502
"'120701010204","Little Elm Creek-Big Elm Creek","'120701010205",74,0.84,74,0.84,74,0.84,88.1
"'120500040403","120500040403","'120500040405",52,0.373,52,0.373,52,0.373,139.376
"'111301040102","Cedar Hill","'CLOSED BASIN",41,0.508,41,0.508,41,0.508,80.717
"'120701010202","Indian Camp Creek","'120701010203",111,1.17,111,1.17,111,1.17,94.908
"'110901060103","West Fork Antelope Creek","'110901060105",9,0.106,9,0.106,9,0.106,84.661
"'120701010205","Rocky Creek-Big Creek","'120701010208",61,0.735,61,0.735,61,0.735,82.94
"'120500030403","North Dokegood Creek-South Dokegood Creek","'120500030502",125,1.106,125,1.106,125,1.106,112.996
"'120701010206","Pin Oak Creek-Brushy Creek","'120701010208",254,2.219,254,2.219,254,2.219,114.489
"'111302090403","Smith Creek","'111302090405",58,0.662,58,0.662,58,0.662,87.659
"'120701010207","Little Sandy Creek-Big Sandy Creek","'120701010208",479,4.801,479,4.801,479,4.801,99.767
"'120602040301","Upper East Bosque River","'120602040302",123,0.996,123,0.996,123,0.996,123.487
"'120701010208","Keechi Creek","'120701010302",490,3.994,490,3.994,490,3.994,122.673
"'080903020107","Bay Natchez-Bayou Grosbec","'080903020303",680,9.647,680,9.647,680,9.647,70.485
"'111403070108","Sugar Creek-Little Cypress Creek","'111403070109",1285,10.466,1653,13.464,1653,13.464,122.773
"'010801010903","Mink Brook-Connecticut River","'010801030201",495,3.728,495,3.728,495,3.728,132.779
"'010400020205","Sunday River","'010400020207",500,3.77,500,3.77,500,3.77,132.638
"'010400020406","Logan Brook-Androscoggin River","'010400020505",1301,10.811,1301,10.811,1301,10.811,120.344
"'010400020603","Taylor Pond","'010400020604",298,3.25,298,3.25,298,3.25,91.678
"'111403070105","South Lilly Creek","'111403070106",271,4.789,271,4.789,271,4.789,56.585
"'120601010602","Plants Creek-Brazos River","'120601010603",1609,10.388,1609,10.388,1609,10.388,154.897
"'010400010403","Nathan Pond Brook-Swift Diamond River","'010400010404",73,0.983,73,0.983,73,0.983,74.27
"'111403070106","North Lilly Creek","'111403070107",658,4.939,658,4.939,658,4.939,133.235
"'111403070107","Lilly Creek","'111403070108",762,6.189,762,6.189,762,6.189,123.131
"'111403070109","Gum Creek-Little Cypress Creek","'111403070201",813,7.978,813,7.978,813,7.978,101.907
"'111403070201","Clear Creek-Little Cypress Creek","'111403070203",1402,11.823,1402,11.823,1402,11.823,118.584
"'111403070203","Glade Creek-Little Cypress Creek","'111403070204",1064,11.016,1064,11.016,1064,11.016,96.585
"'111403070204","Panther Creek-Little Cypress Bayou","'111403070205",1081,13.058,1088,13.142,1088,13.142,82.786
"'111403070209","Town of Woodlawn-Little Cypress Bayou","'111403060403",267,3.854,267,3.854,267,3.854,69.282
"'060300040302","West Fork Sugar Creek","'060300040303",1427,10.954,1427,10.954,1427,10.954,130.278
"'120500030305","Lorenzo Cemetery","'CLOSED BASIN",233,2.024,233,2.024,233,2.024,115.09
"'120500030306","Plum Creek","'120500030307",49,0.477,49,0.477,49,0.477,102.667
"'120100010104","Caney Creek-Cowleech Fork Sabine River","'120100010401",1377,9.594,1377,9.594,1377,9.594,143.531
"'120500030401","City of Slide","'CLOSED BASIN",1441,11.694,1441,11.694,1441,11.694,123.223
"'120500030402","City of Union","'CLOSED BASIN",317,1.597,317,1.597,317,1.597,198.523
"'060300040208","Silver Creek-Richland Creek","'060300040402",306,6.31,306,6.31,306,6.31,48.495
"'060300040301","East Fork Sugar Creek","'060300040303",1013,6.033,1013,6.033,1013,6.033,167.91
"'060300050401","Chisholm Creek","'060300050402",451,4.004,451,4.004,451,4.004,112.625
"'060300050402","Factory Creek","'060300050508",461,2.336,461,2.336,461,2.336,197.385
"'111303010308","111303010308-Washita River","'111303010504",31,0.953,31,0.953,31,0.953,32.538
"'060300050501","Little Shoal Creek","'060300050502",1044,15.554,1063,15.837,1063,15.837,67.12
"'111403010102","Loring Creek-Spring Creek","'111403010103",288,4.111,288,4.111,288,4.111,70.051
"'060300050502","Headwaters Shoal Creek","'060300050505",2555,34.264,3109,41.694,3109,41.694,74.567
"'120601050501","East Fork Gunsolus Creek","'120601050502",54,0.927,54,0.927,54,0.927,58.265
"'060300050503","Crowson Creek","'060300050505",622,13.08,622,13.08,622,13.08,47.554
"'060300050504","Knob Creek","'060300050505",768,5.39,768,5.39,768,5.39,142.481
"'060300050505","Upper Shoal Creek ","'060300050508",1477,12.523,1477,12.523,1477,12.523,117.94
"'111401060603","McKinney Bayou","'111401060604",52,1.681,52,1.681,52,1.681,30.929
"'060300050506","Holly Creek","'060300050508",252,4.95,252,4.95,252,4.95,50.913
"'060400010101","Upper Indian Creek","'060400010102",466,4.38,466,4.38,466,4.38,106.401
"'060400010201","Upper Snake Creek","'060400010203",649,4.995,649,4.995,649,4.995,129.938
"'120301060506","Anthony Branch-Buffalo Creek","'120301060507",2678,33.074,3163,39.063,5072,62.64,80.971
"'120601010601","Ednas Creek-Brazos River","'120601010602",128,1.336,128,1.336,128,1.336,95.791
"'101600050404","Outlet Mud Creek","'101600060401",101,0.922,101,0.922,101,0.922,109.586
"'120100020106","Town of Hawkins-Sabine River","'120100020107",605,11.893,605,11.893,605,11.893,50.87
"'101600060102","Town of Randolph-Dry Run","'101600060103",112,0.781,112,0.781,112,0.781,143.469
"'111201030205","Luttrell Creek-Salt Fork","'111201030207",30,0.196,30,0.196,30,0.196,153.02
"'120100020107","Rogers Creek-Sabine River","'120100020403",949,8.364,949,8.364,949,8.364,113.457
"'120100020203","Stout Creek","'120100020204",396,4.937,396,4.937,396,4.937,80.212
"'120302020803","Whites Creek","'120302020806",104,1.447,104,1.447,104,1.447,71.884
"'120100020205","Lake Greenbriar-Big Sandy Creek","'120100020206",1895,12.342,1895,12.342,1895,12.342,153.545
"'120601010104","Big Buffalo Creek-North Croton Creek","'120601010105",10,0.062,10,0.062,10,0.062,161.549
"'120500040405","Middle Creek-Double Mountain Fork Brazos River","'120500040406",10,0.075,10,0.075,10,0.075,133.415
"'120500040406","Sand Creek-Double Mountain Fork Brazos River","'120500040501",16,0.143,16,0.143,16,0.143,111.748
"'120702010703","Pecan Creek","'120702010705",820,10.624,2182,28.271,2182,28.271,77.181
"'120702010704","Egg Creek-Leon River","'120702010705",106,1.455,106,1.455,106,1.455,72.846
"'120200060105","Little Kimball Creek-Kimball Creek","'120200060106",159,2.308,159,2.308,159,2.308,68.89
"'120601010102","Brushy Creek-North Croton Creek","'120601010104",2,0.02,2,0.02,2,0.02,101.468
"'120601010103","Pen Branch","'120601010105",9,0.065,9,0.065,9,0.065,137.601
"'120702010402","Mexican Hat Hill-Sabana River","'120702010403",216,1.453,216,1.453,216,1.453,148.668
"'102500020408","Surveyor Creek-Rock Creek","'102500020903",46,0.403,46,0.403,46,0.403,114.124
"'102500020403","Akron Reservoir-Surveyor Creek","'102500020406",0,0,0,0,0,0,123.197
"'102500020406","Deering Lake-Surveyor Creek","'102500020407",1,0.013,1,0.013,1,0.013,78.597
"'102500020407","102500020407-Surveyor Creek","'102500020408",23,0.154,23,0.154,23,0.154,149.765
"'102500020504","Town of Hyde","'102500020505",10,0.159,10,0.159,10,0.159,62.771
"'110901060107","Rock Creek","'110901060109",314,4.456,927,13.156,1334,18.932,70.464
"'102500020601","102500020601","'102500020602",0,0,0,0,0,0,146.12
"'102500020604","102500020604","'102500020605",0,0,0,0,0,0,57.891
"'102500020801","Mount Yuma","'102500020804",69,0.507,69,0.507,69,0.507,136.133
"'102500020903","Old Baldy","'102500020904",26,0.238,26,0.238,26,0.238,109.254
"'102500020904","102500020904-Old Baldy","'102500020905",33,0.257,33,0.257,33,0.257,128.54
"'102500021001","Rockland Cemetery","'102500021002",61,0.357,61,0.357,61,0.357,170.805
"'102500021005","102500021005","'102500021007",55,0.438,55,0.438,55,0.438,125.57
"'102500030302","102500030302-South Fork Republican River","'102500030303",8,0.066,8,0.066,8,0.066,121.811
"'120500030502","Falls Creek-North Fork Double Mountain Fork Brazos River","'120500030504",158,0.99,158,0.99,293,1.836,159.545
"'102500030303","102500030303-South Fork Republican River","'102500030304",7,0.086,7,0.086,7,0.086,81.332
"'102500030806","Delto Cemetery-South Fork Republican River","'102500031001",35,0.439,35,0.439,35,0.439,79.673
"'102500030306","102500030306-South Fork Republican River","'102500030601",20,0.259,20,0.259,20,0.259,77.224
"'111302020304","Ninemile Creek","'111302020306",1344,19.963,1344,19.963,1344,19.963,67.325
"'102500030401","Headwaters Hell Creek","'102500030403",25,0.238,25,0.238,25,0.238,105.203
"'102500010101","Walks Camp Cemetery","'102500010102",18,0.327,18,0.327,18,0.327,54.982
"'102500050105","Wildhorse Creek-Sand Draw","'102500050106",110,0.618,110,0.618,110,0.618,178.049
"'102500050306","Town of Lamont","'102500050308",34,0.216,34,0.216,34,0.216,157.587
"'102500010102","Headwaters Arikaree River","'102500010104",31,0.276,31,0.276,31,0.276,112.264
"'102500010104","Currie Creek-Arikaree River","'102500010109",14,0.196,14,0.196,14,0.196,71.6
"'120602040303","Walker Branch-North Bosque River","'120602040304",520,4.259,520,4.259,520,4.259,122.106
"'102500030406","Outlet Hell Creek","'102500030602",9,0.182,9,0.182,9,0.182,49.409
"'102500031002","Town of Hale-South Fork Republican River","'102500031003",33,0.473,33,0.473,33,0.473,69.74
"'102500030403","Upper Hell Creek","'102500030404",24,0.234,24,0.234,24,0.234,102.779
"'102500010303","Headwaters North Fork Arikaree River","'102500010304",11,0.191,11,0.191,11,0.191,57.455
"'102500030404","Middle Hell Creek","'102500030405",30,0.275,30,0.275,30,0.275,109.099
"'102500030405","Lower Hell Creek","'102500030406",42,0.304,42,0.304,42,0.304,138.351
"'102500030505","New Friedonburg Cemetery","'102500030510",16,0.214,16,0.214,16,0.214,74.894
"'102500010309","102500010309-Arikaree River","'102500010310",9,0.209,9,0.209,9,0.209,42.984
"'102500030601","102500030601-South Fork Republican River","'102500030602",22,0.15,22,0.15,22,0.15,147.059
"'102500030602","102500030602-South Fork Republican River","'102500030801",31,0.193,31,0.193,31,0.193,160.238
"'120702010406","Currycomb Branch-Sabana River","'120702010407",656,4.536,656,4.536,656,4.536,144.623
"'102500030801","102500030801-South Fork Republican River","'102500030805",27,0.249,27,0.249,27,0.249,108.419
"'120702010802","Eagle Creek-Leon River","'120702010806",315,2.236,315,2.236,315,2.236,140.899
"'102500030803","Idlers Field Airport","'102500030804",68,0.482,68,0.482,68,0.482,141.038
"'102500030805","Kleweno Reservoir-South Fork Republican River","'102500030806",17,0.228,17,0.228,17,0.228,74.464
"'102500010803","Horse Creek-Arikaree River","'102500010804",45,0.27,45,0.27,45,0.27,166.67
"'102500130102","102500130102","'102500130104",46,0.259,46,0.259,46,0.259,177.372
"'102500130104","102500130104-Little Beaver Creek","'102500130105",28,0.249,28,0.249,28,0.249,112.231
"'102500010804","Devils Canyon-Arikaree River","'102500021101",49,0.371,49,0.371,49,0.371,132.048
"'102500021007","Triangle Cemetery","'102500021009",16,0.173,16,0.173,16,0.173,92.616
"'102500010407","102500010407-Arikaree River","'102500010703",16,0.089,16,0.089,16,0.089,180.709
"'120702010803","Mustang Creek","'120702010805",144,2.564,144,2.564,144,2.564,56.158
"'102500010110","102500010110-Arikaree River","'102500010309",12,0.204,12,0.204,12,0.204,58.859
"'102500031001","Bonny Reservoir-South Fork Republican River","'102500031002",88,0.959,88,0.959,88,0.959,91.784
"'102500010108","Outlet Hell Creek","'102500010109",15,0.293,15,0.293,15,0.293,51.122
"'102500010401","Village of Cope-Arikaree River","'102500010402",0,0,0,0,0,0,99.683
"'102500010109","102500010109-Arikaree River","'102500010110",12,0.183,12,0.183,12,0.183,65.499
"'120702010405","Hunting Shirt Creek-Sabana River","'120702010406",273,3.1,273,3.1,273,3.1,88.051
"'102500010304","Upper North Fork Arikaree River","'102500010306",13,0.172,13,0.172,13,0.172,75.761
"'102500010404","102500010404-Arikaree River","'102500010405",14,0.193,14,0.193,14,0.193,72.551
"'102500010305","102500010305","'102500010306",9,0.079,9,0.079,9,0.079,114.216
"'120100010203","Elm Creek-West Caddo Creek","'120100010204",655,10.055,655,10.055,655,10.055,65.141
"'102500010306","Middle North Fork Arikaree River","'102500010308",6,0.113,6,0.113,6,0.113,52.929
"'102500010308","Lower North Fork Arikaree River","'102500010309",0,0,0,0,0,0,49.981
"'102500010310","102500010310-Arikaree River","'102500010401",4,0.03,4,0.03,4,0.03,131.502
"'110901060104","East Fork Antelope Creek","'110901060105",10,0.105,10,0.105,10,0.105,95.528
"'102500010402","Payne Hill-Arikaree River","'102500010404",2,0.013,2,0.013,2,0.013,149.312
"'102500010405","Town of Joes-Arikaree River","'102500010407",69,0.703,69,0.703,69,0.703,98.133
"'102500010502","Town of Arickaree","'102500010503",0,0,0,0,0,0,98.756
"'120302030301","Linney Creek-Trinity River","'120302030302",3697,22.964,4009,24.902,4986,30.971,160.992
"'110901060105","Antelope Creek-Canadian River","'110901060106",490,3.645,490,3.645,766,5.697,134.447
"'120302030302","West Prong Old River","'120302030305",2218,14.922,2326,15.649,2326,15.649,148.638
"'110901060106","Hill Creek-Canadian River","'110901060109",851,6.713,1392,10.98,1392,10.98,126.773
"'120100010201","West Caddo Creek","'120100010203",2533,19.84,2533,19.84,2533,19.84,127.673
"'101402041102","Middle No Moccasin Creek","'101402041103",51,0.591,51,0.591,51,0.591,86.341
"'120100010202","Cowskin Creek-Brushy Creek","'120100010203",2229,17.372,2229,17.372,2229,17.372,128.312
"'111302090404","Upper East Fork Little Wichita River","'111302090405",87,0.896,87,0.896,87,0.896,97.072
"'120100010204","East Caddo Creek","'120100010402",1815,11.924,1815,11.924,1941,12.752,152.217
"'111302090405","Middle East Fork Little Wichita River","'111302090406",35,0.443,35,0.443,35,0.443,79.027
"'060400010302","Holland Creek","'060400010304",277,6.863,277,6.863,277,6.863,40.361
"'120500030501","Red Hollow-North Fork Double Mountain Fork Brazos River","'120500030502",14,0.206,14,0.206,14,0.206,67.811
"'060400010202","Owl Creek","'060400010203",408,3.998,408,3.998,408,3.998,102.054
"'060400010203","Lower Snake Creek","'060400010504",1154,11.478,1154,11.478,1154,11.478,100.536
"'060400010301","Upper Horse Creek","'060400010304",332,1.905,332,1.905,332,1.905,174.268
"'060400010303","Turkey Creek","'060400010304",1151,7.224,1151,7.224,1151,7.224,159.324
"'060400010304","Lower Horse Creek","'060400010508",1842,15.117,1842,15.117,1901,15.602,121.847
"'060400010401","Little White Oak Creek-White Oak Creek","'060400010403",587,4.192,587,4.192,587,4.192,140.045
"'060400010402","Middleton Creek","'060400010403",771,5.178,771,5.178,771,5.178,148.901
"'060400010403","Flats Creek-White Oak Creek","'060400010508",1116,5.349,1116,5.349,1116,5.349,208.641
"'060400010503","Lick Creek","'060400010504",843,8.257,843,8.257,843,8.257,102.097
"'060400010504","Mud Creek-Tennessee River","'060400010508",1645,10.491,1645,10.491,1930,12.308,156.804
"'060400010505","Doe Creek","'060400010508",663,7.745,663,7.745,663,7.745,85.602
"'060400010506","Stewman Creek","'060400010508",307,4.135,307,4.135,307,4.135,74.236
"'120601050503","Middle Gunsolus Creek","'120601050504",155,1.388,155,1.388,174,1.558,111.661
"'060400010507","Turnbo Creek","'060400010508",356,5.901,356,5.901,356,5.901,60.327
"'060400010508","Beason Creek-Tennessee River","'060400010701",2440,13.936,2440,13.936,2773,15.838,175.083
"'060400010601","Upper Hardin Creek","'060400010602",130,1.342,130,1.342,130,1.342,96.877
"'060400010602","Middle Hardin Creek","'060400010603",147,1.387,147,1.387,147,1.387,105.955
"'060400010603","Lower Hardin Creek","'060400010701",89,1.743,89,1.743,89,1.743,51.062
"'120301060507","White House Ridge-East Fork Trinity River","'120301050402",339,6.254,339,6.254,377,6.955,54.209
"'120601050502","Upper Gunsolus Creek","'120601050503",153,0.953,153,0.953,153,0.953,160.606
"'111201030301","Coyote Creek-Prarie Dog Town Fork Red River","'111201030303",14,0.174,14,0.174,14,0.174,80.641
"'111201030302","Jackson Hill","'CLOSED BASIN",33,0.402,33,0.402,33,0.402,82.003
"'120200070302","Rock Creek-Black Creek","'120200070303",617,4.849,617,4.849,617,4.849,127.251
"'120200060106","Jacks Creek-Kimball Creek","'120200060107",619,5.421,619,5.421,619,5.421,114.193
"'120601010105","Wedington Creek-North Croton Creek","'120601010106",9,0.082,9,0.082,9,0.082,109.913
"'120601010106","Smelter Canyon-North Croton Creek","'120601010201",3,0.05,3,0.05,3,0.05,60.31
"'120601010201","Beaver Canyon-Brazos River","'120601010206",46,0.356,46,0.356,46,0.356,129.267
"'101402041101","Upper No Moccasin Creek","'101402041102",41,0.459,41,0.459,41,0.459,89.374
"'110901060109","Patton Creek-Canadian River","'110901060208",23,0.484,23,0.484,23,0.484,47.527
"'101402041103","Lower No Moccasin Creek","'101402041202",6,0.105,6,0.105,6,0.105,56.939
"'120500030503","Sand Creek","'120500030505",988,6.823,988,6.823,1452,10.027,144.806
"'101402041201","Black Dog Creek","'101402041202",47,0.428,47,0.428,47,0.428,109.81
"'101402041202","Bad Creek-White River","'101402041204",40,0.362,40,0.362,40,0.362,110.377
"'101402041203","Red Butte Creek","'101402041204",34,0.382,34,0.382,34,0.382,89.098
"'120702010408","Sowells Creek","'120702010409",98,2.214,98,2.214,98,2.214,44.254
"'060400010704","Cedar Creek-Tennessee River","'060400010705",748,3.945,748,3.945,748,3.945,189.614
"'060400010701","Ross Creek-Tennessee River","'060400010703",779,9.624,779,9.624,779,9.624,80.944
"'120100010301","Royse City-Sabine Creek","'120100010302",4334,29.814,4943,34.004,6277,43.181,145.366
"'120100010303","Greasy Creek-South Fork Sabine River","'120100010404",828,9.636,828,9.636,828,9.636,85.924
"'060400010702","Beech Creek","'060400010703",327,2.193,327,2.193,327,2.193,149.087
"'060400010703","Whiteoak Creek-Tennessee River","'060400010704",387,4.514,387,4.514,387,4.514,85.737
"'120500030504","Buffalo Tank-North Fork Double Mountain Fork Brazos River","'120500030505",17,0.156,17,0.156,17,0.156,109.015
"'120702010407","Nabors Lake-Sabana River","'120702010409",255,2.26,255,2.26,255,2.26,112.808
"'060400010705","Marsh Creek-Tennessee River","'060400011001",803,6.054,803,6.054,803,6.054,132.644
"'060400010801","Headwaters Beech River","'060400010802",1728,27.31,1728,27.31,1728,27.31,63.274
"'060400010802","Harmon Creek-Beech River","'060400010804",2091,20.032,2376,22.763,2376,22.763,104.381
"'111302090406","Lower East Fork Little Wichita River","'111302090510",49,0.379,49,0.379,49,0.379,129.133
"'060400010803","Piney Creek","'060400010804",458,8.434,458,8.434,458,8.434,54.303
"'111302090501","Upper Lake Creek","'111302090502",216,1.965,216,1.965,216,1.965,109.921
"'060400010804","Haley Creek-Beech River","'060400010805",831,6.035,831,6.035,831,6.035,137.705
"'101600060203","Sweetwater Lake","'101600060206",80,0.515,80,0.515,80,0.515,155.458
"'120301070101","Upper Big Brushy Creek","'120301070103",2770,24.535,3790,33.569,4180,37.023,112.902
"'120301070102","High Point Creek","'120301070103",1059,19.274,1059,19.274,1059,19.274,54.944
"'120601050504","Lower Gunsolus Creek","'120601050604",1089,9.927,1434,13.072,1984,18.086,109.698
"'120601050601","Newcomb Creek-Hubbard Creek","'120601050602",66,0.613,66,0.613,66,0.613,107.666
"'101600060105","Outlet Dry Run","'101600060406",37,0.43,37,0.43,37,0.43,86.042
"'101600060202","City of Conde","'101600060206",208,1.992,208,1.992,208,1.992,104.408
"'101600060201","Scotland Cemetery","'101600060202",18,0.29,18,0.29,18,0.29,61.999
"'120702010806","Town of Ater-Leon River","'120702010902",187,2.632,187,2.632,187,2.632,71.046
"'101600060204","Mallard Slough","'CLOSED BASIN",74,0.905,74,0.905,74,0.905,81.786
"'101600060206","101600060206","'101600060304",63,0.415,63,0.415,63,0.415,151.729
"'101600060302","Town of Raymond","'101600060303",31,0.387,31,0.387,31,0.387,80.099
"'111302090502","Lower Lake Creek","'111302090504",437,5.401,437,5.401,437,5.401,80.916
"'111201030303","Deer Creek-Prarie Dog Town Fork Red River","'111201030304",20,0.192,20,0.192,20,0.192,103.918
"'111201030304","Cedar Creek-Prarie Dog Town Fork Red River","'111201030306",6,0.111,6,0.111,6,0.111,54.249
"'120200070304","Lower Neches Valley Authority Canal-Pine Island Bayou","'120200030405",613,9.647,658,10.355,658,10.355,63.546
"'120301010101","South Fork Trinity River-West Fork Trinity River","'120301010102",65,0.41,65,0.41,65,0.41,158.533
