"huc12","name","tohuc","HS_SepCnt","HS_SepDn","MS_SepCnt","MS_SepDn","LS_SepCnt","LS_SepDn","AREA_SQKM"
"'070200080802","County Ditch Number One-Cottonwood River","'070200080803",326,2.542,326,2.542,326,2.542,128.252
"'070200120201","County Ditch Number Eighteen","'070200120204",61,1.319,61,1.319,61,1.319,46.244
"'070200041007","County Ditch Number Two-Minnesota River","'070200041204",69,1.121,69,1.121,69,1.121,61.533
"'101000041804","Immanuel Lutheran Cemetery","'101000041806",12,0.207,12,0.207,12,0.207,57.871
"'070200120102","County Ditch Number Thirtyfour","'070200120103",102,2.407,102,2.407,102,2.407,42.369
"'100401050603","Lynch Coulee","'100401050606",2,0.051,2,0.051,2,0.051,38.869
"'070200120202","Judicial Ditch Number Eighteen","'070200120204",120,1.453,120,1.453,120,1.453,82.57
"'101302040704","Sixmile Creek","'101302040705",50,0.397,50,0.397,50,0.397,125.879
"'101302050101","South Fork Cedar Creek-Cedar Creek","'101302050102",58,0.445,58,0.445,58,0.445,130.29
"'070200120203","County Ditch Number Fiftysix","'070200120204",702,13.329,702,13.329,702,13.329,52.667
"'101302050102","North Fork Cedar Creek-Cedar Creek","'101302050103",13,0.195,13,0.195,13,0.195,66.712
"'101302050205","101302050205-Cedar Creek","'101302050401",22,0.294,22,0.294,22,0.294,74.714
"'101302050302","Rustan Lake-Chanta Peta Creek","'101302050303",22,0.254,22,0.254,22,0.254,86.785
"'101302050303","Peace Cemetery-Chanta Peta Creek","'101302050304",44,0.409,44,0.409,44,0.409,107.592
"'101302050304","Outlet Chanta Peta Creek","'101302050401",25,0.332,25,0.332,25,0.332,75.198
"'101302050401","Spring Creek-Cedar Creek","'101302050403",30,0.367,30,0.367,30,0.367,81.842
"'101302050403","Taylor Butte-Cedar Creek","'101302050405",20,0.372,20,0.372,20,0.372,53.72
"'101301060301","Salt Lake","'CLOSED BASIN",45,0.515,45,0.515,45,0.515,87.332
"'101301060104","101301060104","'CLOSED BASIN",53,0.463,53,0.463,53,0.463,114.394
"'070200120301","Judicial Ditch Number One","'070200120302",457,4.581,457,4.581,457,4.581,99.757
"'101302020101","Headwaters Heart River","'101302020103",390,3.275,390,3.275,390,3.275,119.084
"'070200120302","Upper South Branch Rush River","'070200120303",135,1.755,135,1.755,135,1.755,76.941
"'101302020107","Lower South Branch Heart River","'101302020304",212,1.985,212,1.985,212,1.985,106.806
"'101302020202","Headwaters Green River","'101302020204",69,0.518,69,0.518,69,0.518,133.11
"'101302020204","Indian Creek-Green River","'101302020207",46,0.504,46,0.504,46,0.504,91.324
"'070200120303","Middle South Branch Rush River","'070200120306",62,1.424,62,1.424,62,1.424,43.524
"'070200070404","Judicial Ditch Number Seventeen","'070200070405",209,4.058,209,4.058,209,4.058,51.502
"'051201130903","Grassy Slough-Levy Slough","'051201130904",105,1.827,105,1.827,105,1.827,57.462
"'051201010902","Moser Lake-Eightmile Creek","'051201010903",346,6.514,1057,19.899,1057,19.899,53.118
"'051201140402","Coon Creek-Big Creek","'051201140404",772,10.298,772,10.298,1242,16.568,74.964
"'051201130901","Pitcher Creek-Wabash River","'051201130902",186,2.966,186,2.966,186,2.966,62.713
"'101000042604","101000042604","'101000042605",32,0.691,32,0.691,32,0.691,46.277
"'051201130902","Sandy Slough-Wabash River","'051201130903",37,0.55,37,0.55,37,0.55,67.261
"'070200050901","Judicial Ditch Number Eight","'070200050904",165,1.373,165,1.373,165,1.373,120.156
"'051201130904","Willow Pond Slough-Wabash River","'051402020705",122,1.012,122,1.012,122,1.012,120.58
"'051402020705","Sibley Creek-Ohio River","'051402030102",623,3.846,623,3.846,623,3.846,162.003
"'051402040501","Heralds Prairie-Cane Creek","'051402040504",223,2.586,223,2.586,223,2.586,86.244
"'070200030703","County Ditch Number Twentyseven","'070200030705",306,6.926,306,6.926,306,6.926,44.18
"'070200030704","Town of Madison","'070200030705",307,2.199,307,2.199,307,2.199,139.581
"'070200040804","Judicial Ditch Number One","'070200040805",49,1.18,49,1.18,49,1.18,41.542
"'051201140905","Big Creek","'051201140906",648,7.098,648,7.098,648,7.098,91.292
"'070200070503","Judicial Ditch Number Thirteen","'070200070504",50,1.152,50,1.152,50,1.152,43.409
"'051201141004","Town of Emma-Little Wabash River","'051201130903",430,5.214,430,5.214,430,5.214,82.463
"'051202090301","Green Creek-Hunley Creek","'051202090303",1532,21.31,1532,21.31,1532,21.31,71.892
"'051202090601","Cup Creek","'051202090603",232,5.054,232,5.054,232,5.054,45.905
"'070200080202","Lake Marshall-Meadow Creek","'070200080204",135,1.624,135,1.624,135,1.624,83.111
"'070200010104","Munson Creek","'070200010106",46,0.495,46,0.495,46,0.495,92.935
"'070200040903","County Ditch Number Eleven","'070200040904",131,2.17,131,2.17,131,2.17,60.365
"'070200040902","County Ditch Number Fifteen","'070200040903",349,3.889,349,3.889,349,3.889,89.734
"'070200010204","Big Spring Creek-Jorgenson River","'070200010206",53,0.841,53,0.841,53,0.841,63.055
