"GEOID"
"'010979900000"
"'010890111001"
"'040050015002"
"'040070002001"
"'040070002003"
"'040070005002"
"'040070001002"
"'040059451001"
"'040019450023"
"'040059422012"
"'040070007001"
"'040079404001"
"'040059800001"
"'010039900000"
"'040059450003"
"'040019427002"
"'040079402001"
"'040059450002"
"'040019441003"
"'040070006002"
"'040119601001"
"'040079404004"
"'040059422022"
"'040179400081"
"'040019443012"
"'040019443011"
"'040019442022"
"'040130101021"
"'040139413003"
"'040019449023"
"'040059450001"
"'040059422021"
"'040070006001"
"'040099405001"
"'040070002002"
"'040019450021"
"'040179424001"
"'040179403012"
"'040179400112"
"'040179423003"
"'040019440001"
"'040019449022"
"'040019427001"
"'040019705021"
"'040179400133"
"'040050020002"
"'040070003021"
"'040070010001"
"'040019705023"
"'040019427004"
"'040179400131"
"'040019443021"
"'040019443022"
"'040059422011"
"'040179401002"
"'040139413002"
"'040099617001"
"'040070003022"
"'040136100021"
"'040070008002"
"'040019441002"
"'040019427003"
"'040019441004"
"'040019426001"
"'040019441005"
"'040019443013"
"'040079404003"
"'040059422023"
"'040179400132"
"'040019450011"
"'040139410001"
"'040070008001"
"'040050016022"
"'040050017003"
"'040019449013"
"'040139413001"
"'040059422013"
"'040099616003"
"'040050023021"
"'040050023011"
"'040059451002"
"'040099615003"
"'040059452001"
"'040179400151"
"'040179425002"
"'040179400142"
"'040099616002"
"'040179425001"
"'040019441001"
"'040019449021"
"'040179400153"
"'040239661061"
"'040050016011"
"'040019450013"
"'040139413004"
"'040179425003"
"'040019442023"
"'040019449012"
"'040179403022"
"'040179400103"
"'040019426002"
"'040019449014"
"'040179400101"
"'040179403011"
"'040179400111"
"'040099405002"
"'040059449001"
"'040059449003"
"'040129403003"
"'040070012003"
"'040139410002"
"'040059449002"
"'040179424002"
"'040179400102"
"'040019442012"
"'040059452003"
"'040179403021"
"'040019440002"
"'040179400082"
"'040179400141"
"'040019440003"
"'040019449011"
"'040059451003"
"'040139411001"
"'040130101023"
"'040019450022"
"'040139801001"
"'040136113001"
"'040019449024"
"'040179400121"
"'040179400143"
"'040019442011"
"'040099405003"
"'040179403013"
"'040070001001"
"'040179400152"
"'040179401001"
"'040136133002"
"'040139412001"
"'040139407001"
"'040059801001"
"'040179400113"
"'040179423002"
"'040019442021"
"'040079404002"
